,name,country,price_usd,soft_cap_usd,hard_cap_usd,distributed_in_ico,token_for_sale,whitelist,kyc,bonus,restricted_areas,bounty,mvp,pre_ico_price_usd,platform,accepting,link_provided,ico_period,pre_ico_period
384,MyTVchain,France,0.067,1000000,10000000,0.11,400000000.0,Yes,Yes,Unavailable,1,Available,Available,0.005,Ethereum,"BTC, ETH, LTC, DASH, USD, EUR",Yes,27,13
385,The Silverlink Network,Singapore,0.7459900359999999,461951,2309757,0.22,2000000.0,No,Yes,Unavailable,1,Unavailable,Unavailable,1.3050104355,Ethereum,ETH,Yes,60,62
386,Carna Life,UK,0.03,2000000,50000000,0.48,4800000000.0,No,Yes,Unavailable,2,Unavailable,Available,0.02,Ethereum,"ETH, BTC",Yes,58,31
387,Gturbo,Russia,0.05,5000000,30000000,0.92,416000000.0,Yes,Yes,Unavailable,9,Unavailable,Available,0.05,Ethereum,"BTC, ETH",Yes,30,14
388,Negexc,Indonesia,0.001,780770,2603086,0.47,1551000000.0,No,No,Unavailable,2,Available,Unavailable,0.001466707610555,Ethereum,"ETH, BTC",Yes,91,10
389,Truefeedback,Turkey,0.0002,200000,770000,0.31,3100000000.0,No,No,Unavailable,12,Unavailable,Available,0.00015,Ethereum,ETH,Yes,10,14
390,WeevoCity,Bulgaria,0.046,200000000,500000000,0.45,49500000.0,No,No,Unavailable,1,Unavailable,Unavailable,0.02449754945,Ethereum,"ETH, BTC, Fiat",Yes,60,30
391,Bayan Token,Singapore,0.8,10000000,35000000,0.89,178000000.0,No,Yes,Unavailable,1,Available,Unavailable,0.7,Ethereum,"BTC, BCH, DASH, ETH, LTC, XRP",Yes,122,49
392,Matrix-coin,France,0.01,3000000,27000000,0.21,2000000000.0,No,No,Unavailable,3,Unavailable,Unavailable,0.006999999999999999,X11 blockchain,"BTC , ETH , LTC , DOGE",Yes,29,26
393,Tradove B2BCoin,USA,0.16,2000000,52000000,0.15,500000000.0,Not Specified,Not Specified,Unavailable,1,Unavailable,Unavailable,0.12,Ethereum,"BTC, ETH, Fiat",No,27,98
394,ELPIS,Switzerland,0.08,1000000,10000000,0.78,195000000.0,Yes,Yes,Unavailable,2,Unavailable,Unavailable,0.06,Ethereum,ETH,Yes,66,36
395,ImmVRse,UK,0.2,5000000,2172030,0.3333,300000000.0,Yes,Yes,Unavailable,1,Available,Unavailable,0.053795697,Ethereum,ETH,Yes,62,9
396,NiMEDix ecosystem,Nigeria,0.1,1000000,10000000,0.5,100000000.0,Yes,Yes,Unavailable,2,Available,Unavailable,0.1,Ethereum,"ETH, BTC",Yes,122,91
397,ARC-IRIS,UK,0.1,1000000,15000000,0.75,750000000.0,No,Yes,Unavailable,5,Available,Unavailable,0.025,Separate Blockchain,"ETH, BTC, LTC, Dash, Monero, ZEC, USDT",Yes,120,30
398,Gese,Cyprus,0.0405,614004,7894572,0.65,50000000.0,Yes,Yes,Unavailable,1,Available,Available,0.125,Ethereum,"ETH, BTC",Yes,16,31
400,STYRAS,Switzerland,0.158,840000,200000000,0.9,200000000.0,Not Specified,Not Specified,Unavailable,1,Unavailable,Unavailable,0.09010025025,Ethereum,ETH,Yes,32,6
401,TonerCoin,Russia,0.55,50000,3850000,0.765,14000000.0,No,No,Unavailable,1,Unavailable,Unavailable,0.1,Ethereum,ETH,Yes,30,29
402,Tryvium,Malta,0.038,1300000,21600000,0.6,540000000.0,No,No,Available,11,Unavailable,Available,0.032,Ethereum,ETH,Yes,28,28
403,Bet On Chart,Czech Republic,0.2953,1153840,11538400,0.7,35000000.0,Yes,Yes,Unavailable,3,Available,Available,0.2296,Ethereum,"ETH, BTC, LTC, XEM",Yes,30,123
404,EVO,Russia,0.8,4000000,8500000,0.54,54000000.0,No,Yes,Unavailable,1,Available,Unavailable,0.8,Ethereum,"ETH, BTC, LTC",Yes,31,91
406,Wall Street Coin,United Arab Emirates,0.9,2000000,70000000,0.75,70000000.0,No,No,Unavailable,3,Available,Unavailable,0.5,Ethereum,"BTC, ETH, LTC",Yes,56,28
407,ADAMANT Messenger,Ireland,0.174,500000,8000000,0.75,73500000.0,No,No,Unavailable,1,Unavailable,Unavailable,0.695815979,Lisk,"ETH, BTC, BCH, DASH, DOGE, LTC, XMR, ETC, ZEC, LSK",Yes,151,42
408,BankDex,Hong Kong,0.019,1000000,6500000,0.45,450000000.0,No,No,Unavailable,1,Unavailable,Unavailable,0.019,Ethereum,"BTC, ETH, USDT, BCH",Yes,121,42
409,CMBT,Brazil,0.94,3700000,18000000,0.37,24324325.0,Yes,Yes,Unavailable,1,Unavailable,Unavailable,0.84,Ethereum,"ETH, BTC",Yes,19,9
410,Patron,Japan,0.5,4000000,35000000,0.6,240000000.0,No,Yes,Unavailable,1,Unavailable,Unavailable,0.28,Ethereum,"ETH, BTC, LTC",Yes,43,28
411,Spiking,Cayman Islands,0.01,2000000,32500000,0.65,3250000000.0,Yes,Yes,Unavailable,18,Available,Available,0.01,Ethereum,ETH,Yes,12,169
412,The GlobeToken Project,South Africa,0.0024,3000000,50000000,0.95,7220000000.0,No,No,Unavailable,2,Unavailable,Unavailable,0.00395702,Stellar,XLM,Yes,76,13
413,Helveticoin,Switzerland,0.0171,783371,10444955,0.45,2000000000.0,Yes,Yes,Unavailable,3,Unavailable,Unavailable,0.04,Ethereum,"ETH, BTC, LTC, NEO",No,40,8
414,MEDoctor,Switzerland,1.0,3000000,50000000,0.581,53900000.0,No,No,Unavailable,1,Available,Available,0.7,Ethereum,"BTC, BCH, ETH, LTC, DASH",Yes,272,21
415,Nickelcoin,Australia,0.65,1300000,12000000,0.3,12000000.0,No,Yes,Unavailable,1,Unavailable,Unavailable,0.4,Ethereum,"BTC, ETH",Yes,45,11
416,ReceiptCoin,USA,0.2,1000000,250000000,0.5,250000000.0,Yes,No,Unavailable,1,Available,Unavailable,0.0524789978,Ethereum,ETH,Yes,89,25
417,VENDEX,Nigeria,0.1,36000000,120000000,0.6,120000000.0,Yes,Yes,Unavailable,2,Available,Unavailable,0.08,Ethereum,"ETH, BTC",Yes,15,13
418,Cura Network,Nigeria,0.45,5000000,15000000,0.4,200000000.0,No,No,Unavailable,2,Available,Available,0.3,Ethereum,"ETH, BTC, LTC, BCH",Yes,99,29
420,Monart,Malta,0.04488332,1099723,21994460,0.66,1000000000.0,Yes,Yes,Unavailable,20,Unavailable,Available,0.04404704,Ethereum,ETH,Yes,58,30
421,Tokenaire,UK,0.0003,315880,1061358,0.6,4200000000.0,No,Yes,Unavailable,1,Unavailable,Available,0.00018828360351,Waves,BTC,Yes,30,78
422,BitEsprit,UK,0.15,7500000,21878205,0.7,70000000.0,No,Yes,Unavailable,1,Available,Unavailable,0.15,Ethereum,"BTC, ETH",Yes,31,19
423,Gooreo,Turkey,0.01,486498,4054150,0.5,440000000.0,No,No,Unavailable,2,Available,Unavailable,0.006,Ethereum,ETH,Yes,46,22
424,Kaiser,Kyrgyzstan,0.08,4407228,17628911,0.6,4000000000.0,No,Yes,Unavailable,1,Unavailable,Available,0.06,Ethereum,ETH,Yes,10,11
425,YouToken,USA,0.15,3000000,50000000,0.35,1000000000.0,No,Yes,Unavailable,3,Available,Unavailable,0.1,YouToken,"ETH, Fiat",Yes,63,59
426,xDeck,Hong Kong,0.0181406067,1817591,6058639,0.6,350000000.0,Yes,Yes,Unavailable,1,Unavailable,Unavailable,0.01303134495,Ethereum,ETH,No,228,35
427,Cannacor,Lesotho,0.12,1500000,110565000,0.78,409500000.0,No,Yes,Unavailable,3,Available,Unavailable,0.06,Ethereum,"ETH, BTC, XRP",Yes,106,95
428,EndChain,Hong Kong,0.24,4000000,15000000,0.55,74567312.0,No,No,Unavailable,1,Available,Available,0.16,Ethereum,"BTC, ETH, BCH, LTC",Yes,151,45
429,HydroCoin,Germany,0.2353,20000000,500000000,0.5,500000000.0,Yes,Yes,Unavailable,1,Unavailable,Unavailable,0.6953768919,Ethereum,"ETH, BTC, EUR, USD",Yes,182,89
430,Involve,Estonia,0.0048,4338885,14462950,0.38,3500000000.0,No,Yes,Unavailable,1,Available,Unavailable,0.00561344146666667,Ethereum,ETH,Yes,94,31
431,Roburst Network,Canada,0.0933,10000000,50000000,0.75,315000000.0,Yes,Yes,Unavailable,2,Available,Unavailable,0.09813070313,New Blockchain,"BTC, ETH",Yes,30,29
432,ZNAQ,UK,3.2,525000,20000000,0.6,60.0,No,Yes,Unavailable,9,Available,Available,3.2,Ethereum,"BTC, ETH, XRP, BCH",Yes,30,29
433,GYM Ledger,USA,0.4202,4000000,20000000,0.2,20000000.0,No,Yes,Unavailable,1,Available,Available,0.29358559300000003,Ethereum,ETH,Yes,76,14
434,Nuclus,South Africa,0.009581942315,324027,2916244,0.5,500000000.0,Yes,No,Unavailable,1,Unavailable,Unavailable,0.0071999381999999995,Ethereum,ETH,Yes,117,58
435,PREVISIONe,Ukraine,1.0518675225,300000,25000000,0.64,64000000.0,Yes,No,Available,1,Available,Unavailable,1.22279747,Ethereum,ETH,Yes,27,20
436,Synapsecoin,Peru,0.05,3000000,18000000,0.5,495000000.0,Yes,Yes,Unavailable,5,Available,Unavailable,0.025,Ethereum,"ETH, BTC, LTC",Yes,60,120
437,USAT,Australia,0.215,2834000,53375000,0.5,762500000.0,Yes,Yes,Unavailable,2,Available,Available,0.034,Ethereum,ETH,Yes,55,9
438,Re:Factor,Singapore,0.0292,505562,10111245,0.72,720000000.0,Yes,Yes,Unavailable,1,Unavailable,Unavailable,0.0364182344159544,Ethereum,"ETH, BTC, LTC",Yes,91,35
439,Burency,United Arab Emirates,0.14,20000000,50000000,0.64,448000000.0,No,Yes,Unavailable,4,Unavailable,Unavailable,0.1,Ethereum,"ETH, BTC, FIAT, USDT, XRP, XLM, BCH, LTC",Yes,42,39
440,DateCoin,Belize,0.141,4000000,20000000,0.65,303000000.0,Yes,Yes,Unavailable,1,Unavailable,Available,0.07481652675,Ethereum,"ETH, BTC",Yes,61,30
441,Impala,Mauritius,0.18,1000000,50000000,0.65,175500000.0,Yes,Yes,Unavailable,2,Unavailable,Unavailable,0.15,Stellar,"ETH, BTC, XLM, Fiat",Yes,181,60
442,MONETO,Switzerland,0.5265,1086060,10860600,0.7,30031250.0,No,Yes,Unavailable,1,Available,Unavailable,0.4023152096,Ethereum,ETH,Yes,30,30
443,OpenBrix,UK,295.34,1000,25000000,0.25,125000000.0,Yes,Yes,Unavailable,1,Available,Unavailable,0.20214571285714303,Ethereum,"ETH, BTC, Fiat",Yes,91,54
444,SportGift,Ecuador,0.05,600000,3000000,0.52,520000000.0,No,No,Unavailable,1,Unavailable,Unavailable,0.03,Ethereum,ETH,Yes,76,75
445,Akaiito,Estonia,0.68,883812,17676249,0.75,22500000.0,No,No,Unavailable,1,Available,Unavailable,0.86870697,Ethereum,"ETH, BTC, LTC",Yes,64,13
446,GOTOGOD,Luxembourg,0.03,3000000,10500000,0.545,545000000.0,No,Yes,Unavailable,2,Unavailable,Unavailable,0.01,Ethereum,ETH,Yes,122,9
447,MiMiner,Singapore,2.0,3000000,37000000,0.87,20000000.0,No,Yes,Unavailable,5,Available,Available,1.0,Ethereum,ETH,Yes,31,58
448,Cosmecoin,UK,0.037000000000000005,2613354,6533385,0.6,300000000.0,Yes,Yes,Unavailable,10,Unavailable,Unavailable,0.0111,Ethereum,"ETH, BTC, LTC, USD, GBP, EUR",Yes,184,22
449,Crypton,Estonia,1.0,5000000,50000000,0.7,50400000.0,Yes,Yes,Available,4,Available,Unavailable,0.7,Ethereum,"BTC, ETH",Yes,43,28
450,Gamelife,Indonesia,0.03,67926,203778,0.7,7000000.0,No,No,Unavailable,1,Available,Unavailable,0.0293631515,Ethereum,ETH,Yes,30,14
451,NAM,Hong Kong,0.0163,10000000,200000000,0.5,20000000000.0,No,Yes,Unavailable,1,Unavailable,Unavailable,0.0335316634525396,Ethereum,ETH,Yes,92,58
452,ARRM,Belarus,0.08,19114199,191141992,0.75,75000000.0,Not Specified,Not Specified,Unavailable,1,Unavailable,Unavailable,0.70785,Ethereum,"BTC, ETH",Yes,32,4
453,BFEX,Hong Kong,0.5,12000000,36000000,0.5,105000000.0,No,Yes,Unavailable,1,Available,Unavailable,0.3,Ethereum,ETH,Yes,58,30
454,OTPPAY,India,0.037000000000000005,751346,42826738,0.6,600000000.0,No,Yes,Unavailable,1,Unavailable,Unavailable,0.0533552513125,Ethereum,ETH,Yes,65,29
455,Robotina,Slovenia,0.05,10000000,28500000,0.7,570500000.0,No,Yes,Unavailable,6,Available,Unavailable,0.048,Ethereum,ETH,Yes,40,28
456,Biogen,Ireland,0.0574,3000000,400000000,0.4,2000000000.0,No,No,Unavailable,2,Unavailable,Unavailable,0.054577447599999995,Ethereum,ETH,Yes,182,30
457,PORNX,Singapore,0.224537658666667,2275899,13655399,0.7,238000000.0,Yes,No,Unavailable,3,Unavailable,Unavailable,0.3,Ethereum,"ETH, BTC, BCH, XRP, DASH, LTC",Yes,60,14
458,Starflow,Singapore,0.1335,16000000,5683129,0.5,200000000.0,Yes,Yes,Unavailable,3,Unavailable,Unavailable,0.0947336748979592,Ethereum,ETH,Yes,149,120
459,Telescopia,Egypt,0.48,4800000,29600000,0.517,90451461.0,No,Yes,Unavailable,1,Unavailable,Available,0.19,Ethereum,"ETH, USD",Yes,61,29
460,WPP,Switzerland,0.065,5000000,50000000,0.5,225000000.0,No,No,Unavailable,1,Available,Available,0.0826200018518519,Ethereum,"ETH, BTC, LTC",Yes,102,62
461,BiteCoin Network,France,0.0043,1392114,14205250,0.7,4900000000.0,No,Yes,Unavailable,1,Unavailable,Unavailable,0.00792310974,Ethereum,ETH,Yes,49,55
463,HexanCoin,India,0.15,692570,3809140,0.5,110000000.0,No,Yes,Unavailable,2,Available,Unavailable,0.11,Ethereum,"BTC, ETH",Yes,79,36
464,StabiX,Switzerland,11.3012,5600000,22500000,0.73,730000.0,Yes,Yes,Unavailable,1,Unavailable,Unavailable,10.63404052,Ethereum,ETH,No,31,15
465,Cryptics,Estonia,0.2327,4000000,20000000,0.66,66000000.0,Yes,No,Unavailable,2,Available,Available,0.46030999799999994,Ethereum,ETH,Yes,28,62
466,Open Collectors Network,Romania,0.0362,500000,6500000,0.65,97500000.0,Yes,Yes,Unavailable,1,Available,Unavailable,0.0235,Ethereum,ETH,Yes,28,56
467,CZero,India,0.0911,350000,20000000,0.5710000000000001,200000000.0,Yes,No,Unavailable,1,Unavailable,Unavailable,0.15,Ethereum,ETH,No,12,30
468,CashBet,USA,0.75,5000000,142975000,0.3325,142975000.0,Yes,Yes,Unavailable,7,Unavailable,Unavailable,0.42,Ethereum,"ETH, BTC, LTC",Yes,17,27
469,LOVE Token,India,0.40399999999999997,39645,396457,0.05,500000.0,No,Yes,Unavailable,15,Unavailable,Unavailable,0.461780487,Ethereum,ETH,Yes,29,14
470,Libellum,Hong Kong,0.1,253322,1266612,0.5,50000000.0,Yes,Yes,Unavailable,4,Unavailable,Unavailable,0.08,Ethereum,ETH,Yes,29,29
471,Triffic,British Virgin Islands,0.05,100000,12000000,0.4,400000000.0,Yes,Yes,Unavailable,1,Unavailable,Unavailable,0.04,Ardor,"BTC, ETH, ARDR",Yes,60,14
472,Titancore,Sweden,0.01,1000000,10000000,0.4,10000000000.0,No,No,Unavailable,1,Available,Unavailable,0.005,Ethereum,"BTC, ETH",Yes,108,29
473,Energy Premier,Switzerland,0.0003,5000000,34050000,0.6,120000000.0,No,Yes,Unavailable,4,Unavailable,Unavailable,0.0003,Ethereum,ETH,Yes,40,225
474,GGPRO,Malta,0.0846,1408194,4224582,0.7,70000000.0,Yes,No,Available,1,Unavailable,Available,0.0423362508,Ethereum,"BTC, ETH, LTC",Yes,61,34
475,Housinet,Estonia,0.01,1000000,20000000,0.3,10000000000.0,No,No,Unavailable,1,Available,Unavailable,0.005,Ethereum,"ETH, BTC, LTC, BCH",Yes,69,41
476,REOS,Singapore,0.0042,610163,5491472,0.5,5000000000.0,No,Yes,Unavailable,5,Available,Unavailable,0.00806916016,Ethereum,"ETH, BTC",Yes,92,170
477,XchangeRate,Seychelles,0.059000000000000004,1195124,10756116,0.8,200000000.0,No,No,Unavailable,3,Available,Available,0.0278587494,Ethereum,"ETH, BTC",Yes,64,16
478,Start Waves,Colombia,0.03,1500000,5000000,0.6,600000000.0,No,Yes,Unavailable,1,Available,Unavailable,0.015,Ethereum,ETH,Yes,121,61
479,TradePlace,UK,0.25,1475451,10538939,0.2,50000000.0,Yes,Yes,Unavailable,1,Unavailable,Available,0.025,Ethereum,ETH,Yes,50,39
480,Wizebit,Estonia,0.4,2500000,35000000,0.5,250000000.0,No,Yes,Unavailable,1,Unavailable,Unavailable,0.15,WizeBit,ETH,Yes,71,59
481,Global Finances,USA,1.4,3000000,25000000,0.6,25000000.0,No,No,Unavailable,1,Unavailable,Unavailable,0.75,Ethereum,"ETH, BTC",Yes,55,13
482,InfraCoins,Malaysia,1.25,3000000,30000000,0.6,30000000.0,No,Yes,Unavailable,1,Available,Available,0.7,Ethereum,"BTC, ETH, XRP, Fiat",Yes,82,16
483,Arizn,South Africa,0.0216,2000000,25000000,0.7,840000000.0,No,Yes,Unavailable,1,Available,Available,0.043277200300000006,Ethereum,"ETH, Fiat",Yes,62,30
484,ChainZilla,Panama,0.45,250000,2250000,0.45,5000000.0,No,Yes,Unavailable,5,Available,Available,0.35,Komodo,"KMD, BTC, ETH, LTC, NEM",Yes,17,21
485,Squarex,Latvia,0.2308,3830748,13732542,0.79,68730000.0,Yes,No,Unavailable,1,Unavailable,Unavailable,0.299900004,Ethereum,"ETH, BTC, ETC, ZCASH",Yes,30,17
486,Coalichain,Israel,0.18,3000000,33000000,0.35,269500000.0,No,Yes,Available,1,Available,Unavailable,0.14400000000000002,Ethereum,"BTC, ETH, LTC, Fiat",Yes,92,140
487,Luxreum,Saint Kitts and Nevis,0.1,2000000,30000000,0.3,300000000.0,No,No,Unavailable,1,Unavailable,Available,0.1,Ethereum,"BTC, ETH, BCH, LTC, NEO, DASH",Yes,7,23
488,TrustLogics,Cayman Islands,0.08,2000000,16000000,0.55,234973535.0,Yes,Yes,Unavailable,3,Available,Available,0.052000000000000005,Ethereum,"ETH, BTC, LTC, BCH",Yes,24,26
489,Dylyver,Hungary,0.1,2000000,20000000,0.4,200000000.0,No,Yes,Unavailable,1,Unavailable,Unavailable,0.09,Ethereum,"BTC, DASH, ETH, LTC, Fiat",Yes,121,107
490,Liker,Malta,0.016,1400000,14000000,0.3,150000000.0,Yes,Yes,Unavailable,1,Available,Available,0.021505935825,Ethereum,ETH,Yes,9,29
491,Alt.Estate,British Virgin Islands,0.0042,1000000,15000000,0.6,7200000000.0,Yes,Yes,Unavailable,1,Available,Available,0.00502894012,Ethereum,"ETH, BTC",Yes,62,42
492,Monoreto,Singapore,0.05,500000,5000000,0.63,125000000.0,No,No,Unavailable,1,Available,Available,0.03,Ethereum,ETH,Yes,72,61
493,WhenHub,USA,0.25,35000000,40000000,0.34,350000000.0,No,No,Unavailable,1,Unavailable,Unavailable,0.1,Ethereum,"ETH, Credit Card (all currencies), Bank Wire (all currencies)",Yes,184,15
494,KryptoRedeem,Mexico,0.56,500000,2500000,0.45,10000000.0,No,Yes,Unavailable,4,Unavailable,Available,0.39,Ethereum,ETH,Yes,30,6
495,Nokenchain,France,0.0218,33050,440674,0.0952,20000000.0,No,Yes,Unavailable,4,Available,Unavailable,0.01106195,Waves,"BTC, ETH, BCH, LTC, USDC",Yes,87,57
496,ENTRY,UK,0.174,25000000,325000000,0.55,325000000.0,Yes,Yes,Unavailable,1,Unavailable,Unavailable,0.11950999999999999,ENTRY,"BTC, ETH, DASH, Fiat",Yes,91,7
497,King Slayer,China,0.1,3000000,25000000,0.54,26930000.0,Yes,No,Unavailable,2,Unavailable,Unavailable,0.1,ETH,"BTC, ETH",Yes,31,50
498,Subaj Global Network,Germany,0.05,5000000,70000000,0.5,2500000000.0,No,Yes,Unavailable,1,Available,Unavailable,0.05,Ethereum,"ETH, BTC, LTC",Yes,90,44
499,Ambit,Georgia,0.5,3000000,40000000,0.85,88000000.0,Yes,Yes,Unavailable,1,Unavailable,Unavailable,0.4,Ethereum,"BTC, ETH, Fiat",Yes,40,17
501,Ternion,Estonia,3.23,5000000,30000000,0.8,76000000.0,Yes,Yes,Unavailable,3,Available,Available,0.65,Ethereum,"ETH, BTC, LTC, BCH",Yes,133,93
502,Aurora Ecosystem,Spain,1.1733,3900000,60000000,1.0,180000000.0,Yes,Yes,Unavailable,3,Unavailable,Unavailable,1.1655149999999999,Separate blockchain,"BTC, ETH, NEO, ICX, Fiat",Yes,183,30
503,IDAC,Singapore,0.6202,839156,4195783,0.25,162500000.0,No,No,Unavailable,1,Unavailable,Available,0.9040299999999999,Ethereum,ETH,Yes,30,15
504,MeterQubes,Netherlands,0.05,4000000,8750000,0.35,350000000.0,No,No,Unavailable,1,Unavailable,Unavailable,0.02,Ethereum,"ETH, BTC",Yes,31,30
505,Prime Shipping Foundation,Gibraltar,1.0,1250000,12250000,0.35,2100000000.0,Yes,Yes,Unavailable,1,Unavailable,Unavailable,0.05,Ethereum,"BTC, ETH",Yes,16,16
506,TrustedCars Flex,Germany,0.0814,1600000,42000000,0.15,100000000.0,Yes,Yes,Unavailable,34,Available,Available,0.08195187,Ethereum,"ETH, BTC, Fiat",Yes,44,81
507,Deedcoin,USA,1.0,4000000,28000000,0.7,18700000.0,Yes,Yes,Available,3,Unavailable,Unavailable,1.5,Ethereum,"ETH, BTC, LTC, Fiat",Yes,245,14
508,Lydian Lion,Croatia,0.001102913,2000000,20000000,0.55,25000000000.0,No,No,Unavailable,1,Unavailable,Unavailable,0.00058082,Stellar,"XLM, ETH, BTC",Yes,121,62
509,Slate,Canada,0.03,20000000,125000000,0.48,4560000000.0,Yes,Yes,Unavailable,10,Available,Available,0.02,Slatechain,"ETH, BTC, LTC, BCH, DASH, XRP, NEO, XMR",Yes,20,29
510,The 4th Pillar,Slovenia,0.027999999999999997,2320000,13920000,0.38,152000000.0,Yes,Yes,Unavailable,40,Unavailable,Unavailable,0.0263,Ethereum,ETH,Yes,16,141
511,Paytomat,Estonia,0.5652,1885305,7260079,0.8,17555000.0,Yes,Yes,Unavailable,4,Available,Available,0.8163419922,EOS,"BTC, ETH, LTC, WAVES, DASH",Yes,30,16
512,TrustedHealth,Estonia,0.0376,647031,4852739,0.5,150000000.0,Yes,Yes,Unavailable,2,Unavailable,Unavailable,0.033430499280000005,Ethereum,ETH,Yes,31,6
513,Bitbose,UK,0.25,5000000,45000000,0.7,210000000.0,Yes,Yes,Unavailable,2,Available,Unavailable,0.25,Ethereum,"BTC, ETH",Yes,137,44
514,Infliv,Singapore,0.0722,484612,1130763,0.55,42000000.0,Yes,No,Unavailable,1,Available,Available,0.0385,Ethereum,ETH,Yes,42,19
515,Alux Bank,Spain,0.2,10000000,25000000,0.5,500000000.0,No,Yes,Unavailable,4,Available,Unavailable,0.06,Ethereum,"BTC, ETH, Fiat",Yes,90,90
516,ZOM,Jamaica,0.1,27251,386880,0.85,32500000.0,No,Yes,Unavailable,1,Available,Unavailable,0.07,Ethereum,"ETH, BTC",Yes,0,33
517,AdSigma,India,0.205,2038801,13592011,0.6,60000000.0,No,No,Unavailable,1,Unavailable,Unavailable,0.10219519866666699,Ethereum,ETH,Yes,30,15
518,Daox,United Arab Emirates,0.2509,544191,3627940,0.7,21000000.0,Yes,Yes,Unavailable,2,Available,Available,0.2,Ethereum,ETH,Yes,70,40
519,Marginless,UK,0.055,2310580,12130545,0.7,210000000.0,No,Yes,Unavailable,1,Unavailable,Available,0.029411253781,Ethereum,"ETH, LTC, BTC",Yes,50,1
520,PetSource,Switzerland,0.12,1000000,9500000,0.25,550000000.0,No,Yes,Available,1,Unavailable,Unavailable,0.02,Ethereum,ETH,Yes,45,28
521,IDMoney,Costa Rica,0.3404,141501,3396047,0.45,16000000.0,Yes,No,Unavailable,2,Available,Available,0.4350322725,Ethereum,ETH,Yes,61,29
522,Sidera,Lithuania,2.0,1500000,15000000,0.72,36720000.0,Yes,Yes,Unavailable,2,Unavailable,Unavailable,2.0,Ethereum,"ETH, Fiat",Yes,44,14
523,Cogmento,USA,0.1,1000000,6000000,0.2,200000000.0,No,Yes,Unavailable,9,Available,Available,0.08,Ethereum,ETH,Yes,671,27
524,Coinyspace,Estonia,0.0187,50000000,600000000,0.6,600000000.0,No,No,Unavailable,1,Unavailable,Unavailable,0.01032072022,Ethereum,ETH,Yes,50,11
525,Gastro Advisor,Switzerland,0.3,1170000,26003250,0.5,100000000.0,No,Yes,Unavailable,1,Available,Unavailable,0.23,Ethereum,"ETH, BTC, Fiat",Yes,114,42
526,Malaysia 370 Movie,USA,0.05,10000000,150000000,0.7,140000000.0,No,No,Unavailable,1,Unavailable,Unavailable,0.05,Ethereum,"BTC, ETH",No,183,14
527,OFNOG,UK,0.1,15000000,25000000,0.5,250000000.0,No,No,Unavailable,1,Unavailable,Unavailable,0.1,Ethereum,"ETH, BTC",Yes,61,29
528,Scam ICO Killer,Russia,0.06,1000000,10000000,0.7,100000000.0,No,Yes,Unavailable,1,Unavailable,Unavailable,0.03,Ethereum,"BTC,ЕТН, Various",Yes,31,31
529,XAYA,Malta,0.1261,1568645,6588309,0.405,225000000.0,No,Yes,Unavailable,1,Available,Available,0.124314681638,XAYA,"BTC, ETH, BCH, QASH",Yes,35,56
530,Allforcrypto,Seychelles,0.25,2000000,21000000,0.7,70000000.0,Yes,Yes,Unavailable,18,Available,Available,0.1,Waves,"ETH, BTC, LTC, DASH, WAVES, XMR, DOGE, USDT",Yes,243,37
531,GSC Platform,France,0.05,1000000,9000000,0.3,300000000.0,No,Yes,Unavailable,6,Available,Unavailable,0.025,Ethereum,"ETH, BTC, LTC, CS, Fiat",Yes,17,176
532,Review.Network,Cyprus,0.0112,3282813,24621097,0.6,2700000000.0,No,Yes,Unavailable,6,Unavailable,Available,0.01143995,Ethereum,"ETH, BTC, BCH, LTC",Yes,121,152
533,Talao,France,0.46,2333325,11199960,0.67,100500000.0,Yes,Yes,Unavailable,1,Unavailable,Available,0.592984985,Ethereum,ETH,No,25,26
534,Zamanat,USA,0.37,100000,1100000,0.64,13650000.0,No,No,Unavailable,1,Unavailable,Unavailable,0.34024096936,Ethereum,ETH,Yes,45,33
535,Hamster Marketplace,UK,2.0,2000000,14000000,0.7,10000000.0,Not Specified,Not Specified,Unavailable,1,Unavailable,Unavailable,1.6,Ethereum,"BTC, ETH, LTC, DASH, XMR, Various",Yes,89,36
536,MoxyOne,Australia,0.5,2126808,12760848,0.7,35000000.0,Yes,Yes,Unavailable,1,Unavailable,Unavailable,0.817807007,Ethereum,ETH,Yes,32,30
537,SSOT Health Foundation,USA,0.03,2500000,15000000,0.5,500000000.0,Yes,Yes,Unavailable,7,Available,Available,0.03,Ethereum,"BTC, ETH",Yes,30,30
538,PearlPay,Philippines,0.2,25000000,175000000,0.35,175000000.0,Yes,No,Available,1,Available,Available,0.2,Komodo,"BTC, KMD",Yes,59,51
539,Play2Live,Malta,0.05,3000000,30000000,0.625,1308800000.0,Not Specified,Not Specified,Unavailable,1,Unavailable,Unavailable,0.05,Ethereum,"BTC, ETH, BCH, LTC, DASH, Fiat",Yes,21,14
540,Remiit,Singapore,0.0009,1800000000,5300000,0.4,6000000000.0,Yes,Yes,Unavailable,6,Unavailable,Available,0.01,Ethereum,KRW,Yes,1,29
541,ABLE,Estonia,0.0011,3341759,8354399,0.6,15000000000.0,Yes,Yes,Unavailable,1,Available,Unavailable,0.002,Ethereum,ETH,Yes,25,13
542,Fractal Token CrowdSale,Italy,0.0675,43386,29741583,0.769,500000000.0,No,No,Unavailable,1,Available,Unavailable,0.08058338747999999,Ethereum,ETH,Yes,91,70
