,name,country,price_usd,soft_cap_usd,hard_cap_usd,distributed_in_ico,token_for_sale,whitelist,kyc,bonus,restricted_areas,bounty,mvp,pre_ico_price_usd,platform,accepting,link_provided,ico_period,pre_ico_period
264,Cryptoprofile,Singapore,0.1,1162556,30463808,0.78,591474747.0,Yes,Yes,Unavailable,7,Available,Unavailable,0.05,Ethereum,ETH,Yes,27,30
265,Ekspa,Russia,0.4,400000,9700000,0.49,24500000.0,No,No,Unavailable,1,Unavailable,Unavailable,0.2,Ethereum,ETH,Yes,30,12
266,Mix Rent,Ireland,0.006,1000000,17000000,0.52,52000000.0,No,Yes,Unavailable,1,Unavailable,Available,0.20171455781,Ethereum,"BTC, ETH, XMR, XRP",Yes,7,10
267,SGAT,France,1.1434,1714657,7430182,0.65,7800000.0,No,Yes,Unavailable,3,Available,Available,1.134636,CryptoNight,"BTC, ETH, EUR",Yes,52,152
268,BigBang,Estonia,0.0319,1000000,25000000,0.2,100000000.0,No,Yes,Unavailable,2,Unavailable,Unavailable,0.07102625275,Ethereum,"ETH, BTC",Yes,60,89
269,FRESCO,Switzerland,0.102,7975530,42536162,0.6,500000000.0,Yes,Yes,Unavailable,5,Unavailable,Unavailable,0.0940467716923077,Ethereum,ETH,Yes,25,5
270,GPM Carbon,Czech Republic,0.3,3000000,27000000,0.8,144000000.0,No,No,Unavailable,80,Available,Available,0.15,BITCOIN,"ETH, BTC",Yes,289,121
271,Signals,Czech Republic,0.3627,2000000,18500000,0.5,75000000.0,No,Yes,Unavailable,2,Available,Unavailable,0.253874,Ethereum,ETH,Yes,49,39
272,Swachhcoin,India,0.07200000000000001,5000000,15000000,0.69,214099889.0,No,Yes,Unavailable,1,Available,Unavailable,0.0473,Ethereum,"BTC, ETH, XPR, LTC",Yes,87,28
273,3DChain,USA,0.0479,29069,7675768,0.6,60000000.0,Yes,No,Unavailable,1,Available,Available,0.046619817,Ethereum,ETH,Yes,149,120
275,Game Protocol,Malta,0.132581329333333,3000000,30000000,0.58,87000000.0,Yes,Yes,Available,2,Unavailable,Available,0.11048444111111098,Ethereum,"ETH, BTC",Yes,29,31
277,SmartCity,Croatia,0.0555,396457,4559255,0.9,80000000.0,Not Specified,Not Specified,Unavailable,1,Unavailable,Unavailable,0.22468174678260897,Ethereum,ETH,Yes,58,16
278,V-ID,Netherlands,0.4,1000000,8000000,0.5,50000000.0,Yes,Yes,Unavailable,8,Available,Available,0.08,Ethereum,"ETH, BTC, EUR",Yes,66,29
279,Bronix,Australia,0.35,5000000,30000000,0.8,175000000.0,Yes,Yes,Unavailable,1,Unavailable,Unavailable,0.35,Ethereum,"BTC, ETH, XRP",No,99,30
280,Lamoneda,Netherlands,0.0195,2000000,10000000,0.72,362500000.0,No,Yes,Unavailable,1,Unavailable,Unavailable,0.024550199900000003,Ethereum,"ETH, BTC, LTC, Fiat",Yes,48,21
281,Rise Housing,Bahamas,0.01,9078359,18156719,0.3,100000000.0,No,Yes,Unavailable,4,Available,Unavailable,0.008333333333000001,Ethereum,ETH,Yes,30,45
282,Memority,Estonia,0.1,5000000,85500000,0.57,855000000.0,No,Yes,Unavailable,11,Available,Available,0.1,Ethereum,"ETH, BTC, LTC, BCH, Fiat",Yes,183,15
283,Tripago,UK,0.036000000000000004,2249250,11246250,0.4,400000000.0,No,No,Unavailable,1,Available,Unavailable,0.024151561749999998,Ethereum,"ETH, BTC, LTC, BCH",Yes,58,18
284,Datarius,Costa Rica,1.0,1000000,51000000,0.73,200000000.0,No,Yes,Unavailable,1,Available,Unavailable,1.0,Ethereum,"ETH, BTC, BCC, LTC, Fiat",Yes,31,19
285,OPP Open WiFi,UK,0.4,4000000,40000000,0.0355,142000000.0,Yes,Yes,Unavailable,1,Available,Available,0.24,Ethereum,"BTC, ETH, Fiat",Yes,154,31
286,CAXI,UK,1.1308,33915180,113050600,0.7,7000000000.0,Yes,Yes,Unavailable,7,Unavailable,Unavailable,0.6846264,Ethereum,"ETH, BTC, BCH, LTC, ZCH, XMR, DASH",Yes,31,67
287,Moneda,Austria,0.0864,10000000,250000000,0.675,250000000.0,No,No,Unavailable,1,Available,Unavailable,0.0587343705185185,Ethereum,ETH,Yes,61,30
288,Spacoin,Cambodia,0.087,4595003,18380015,0.53,80000000.0,Not Specified,Not Specified,Unavailable,1,Unavailable,Unavailable,0.07022759766,Ethereum,"ETH, BTC",Yes,13,6
289,AQUA,USA,0.18,5000000,30000000,0.45,225000000.0,No,Yes,Unavailable,1,Available,Available,0.09,Ethereum,ETH,Yes,5,90
291,Incodium,Singapore,0.0093,100000000,1500000000,0.3,3000000000.0,No,No,Unavailable,1,Unavailable,Unavailable,0.01450107575,Ethereum,ETH,Yes,41,29
293,eCoinomic,Estonia,0.05,6000000,106000000,0.74,1550000000.0,Yes,Yes,Unavailable,3,Available,Unavailable,0.05,Ethereum,"ETH, BTC, XRP, BCH, LTC, NEO, XMR, ZEC",Yes,115,18
294,Airbloc,Singapore,0.040999999999999995,3052063,8720180,0.55,221450000.0,Yes,Yes,Unavailable,4,Unavailable,Available,0.0608019117391304,Ethereum,ETH,Yes,10,8
295,Edgecoin,Germany,0.077,370285,2962280,0.4,40000000.0,No,Yes,Unavailable,2,Unavailable,Unavailable,0.0298891998,Ethereum,ETH,Yes,90,30
296,Let Bet,Belize,1.5,3000000,84000000,0.5,99000000.0,Not Specified,Not Specified,Unavailable,1,Unavailable,Unavailable,1.15,Ethereum,"ETH, BTC",Yes,39,25
297,ReporterCommunity,Hungary,0.114,2599402,5198805,0.6,36000000.0,Yes,No,Unavailable,1,Unavailable,Unavailable,0.0651838971869829,Ethereum,"ETH, XEM, XRP",No,120,101
298,Canyudo,UK,0.1,250000,200000000,0.5,5000000000.0,No,Yes,Unavailable,1,Unavailable,Available,0.1,Ethereum,ETH,Yes,91,27
299,Guarium,UK,0.94,324332,12162452,0.4,14000000000.0,Yes,No,Unavailable,1,Unavailable,Unavailable,0.01,Ethereum,"BTC, ETH, Fiat",Yes,288,86
300,MedK - Medical Cannabis,UK,0.05,147000,35000000,0.6,550000000.0,Yes,Yes,Unavailable,1,Unavailable,Unavailable,0.05,Ethereum,"BTC, ETH, XRP, BCH, Fiat",Yes,144,52
301,Developeo,UK,0.4,50000000,480000000,0.8,480000000.0,No,Yes,Unavailable,1,Available,Unavailable,0.2,Ethereum,"ETH, BTC, LTC, XRP, BCH, BCN, DASH, DGB, DOGE, ETC, KMD, MAID, NEO, NXS, OMNI, POT, QTUM, SBD, STEEM, STRAT, SYS, USDT, VTC, WAVES, XCP, XEM, XMR, XVG, XZC, ZEC",Yes,41,45
302,Gyptex,Hong Kong,0.0096,1144047,3813492,0.6,445084980.0,Yes,Yes,Unavailable,1,Unavailable,Unavailable,0.01303134495,Ethereum,ETH,Yes,46,35
304,Local Token Exchange,Spain,0.2916,1143105,22280145,0.58,44660000.0,Yes,Yes,Unavailable,1,Unavailable,Unavailable,0.14637175,Ethereum,ETH,Yes,121,31
305,MUST Protocol,Estonia,0.04,6700000,14000000,0.7,350000000.0,Yes,Yes,Unavailable,1,Unavailable,Unavailable,0.04,Ethereum,"BTC, ETH, Fiat",Yes,425,60
306,NWPSolution,Estonia,0.05,300000,700000,0.5,500000000.0,Yes,Yes,Available,1,Available,Available,0.01,Ethereum,"BTC, ETH, LTC, Dash",Yes,122,46
307,WhatsOnPic,Australia,2.3926,1821250,21987500,0.7,5050000.0,No,Yes,Unavailable,2,Available,Available,22.89382275,Ethereum,"ETH, BTC",Yes,86,81
308,Auctus,British Virgin Islands,0.28300000000000003,1634000,2850000,0.51,54060000.0,Yes,Yes,Unavailable,4,Unavailable,Unavailable,0.1169852052,Ethereum,ETH,Yes,10,3
309,EZPOS,Singapore,1.2,2000000,10000000,0.2,10000000.0,Yes,Yes,Unavailable,2,Unavailable,Unavailable,0.6,Ethereum,"BTC, ETH",Yes,12,24
310,0xcert,Slovenia,0.0497,2402565,9610260,0.5,250000000.0,Yes,Yes,Unavailable,4,Available,Available,0.04205861937,Ethereum,ETH,Yes,14,2
311,BuzzShow,Netherlands,0.5,250000,20000000,0.62,93000000.0,No,Yes,Unavailable,1,Available,Unavailable,0.25,Ethereum,"ETH, ETC, BTC, BCH, LTC, DASH, XRP, XMR",Yes,426,30
312,Zeon Network,Germany,0.0005,2000000,15000000,0.6,30000000000.0,No,No,Unavailable,1,Available,Available,0.0005,Custom,"USD, USDT, BTC, ETH",Yes,366,31
314,Kryptoin,Cayman Islands,35.4408,3896420,15597006,0.6,1078825.0,Yes,Yes,Available,1,Available,Available,29.534100300000002,Ethereum,ETH,Yes,181,123
315,RedFund,Mexico,0.2749,2751969,55039398,0.75,165000000.0,No,No,Unavailable,1,Unavailable,Unavailable,0.3782649991666671,Ethereum,ETH,Yes,14,41
316,Trimpo,USA,0.705910035,994359,5966159,0.6,500000000.0,No,No,Available,1,Unavailable,Available,1.124625015,Ethereum,"ETH, BTC",Yes,78,61
317,WolfpackBOT,Bahamas,0.15,300000,56000000,0.8,240000000.0,No,Yes,Unavailable,4,Available,Available,0.1,X11,"ETH, BTC, LTC, DASH, DOGE",Yes,348,61
318,CWEX,Switzerland,0.2,1000000,10000000,0.62,55180000.0,Yes,No,Available,1,Available,Available,0.16,EOS,"EOS, ETH, BTC, LTC",Yes,70,25
319,Digmus,Russia,4.427,500000,10000000,0.7,7000000.0,Not Specified,Not Specified,Unavailable,1,Unavailable,Unavailable,1.01378662,Ethereum,"BTC, ETH",Yes,30,7
320,WisePass,Singapore,0.0362,334175,5012639,0.25,250000000.0,Yes,Yes,Unavailable,2,Unavailable,Available,0.0606064148333333,Ethereum,ETH,Yes,61,31
321,Morpheus Network,Seychelles,0.5,1800000,18000000,0.52,52000000.0,No,Yes,Unavailable,11,Available,Unavailable,0.5,Ethereum,ETH,Yes,31,15
322,Sharpay,Belize,0.017,3000000,25994025,0.375,1500000000.0,Yes,Yes,Unavailable,1,Available,Available,0.01545407958,Ethereum,"ETH, BTC, LTC, BCH, Dash",Yes,91,62
323,FXPay,UK,1.6,15000000,17764289,0.4,200000000.0,Yes,Yes,Unavailable,1,Unavailable,Unavailable,1.1499999762,Ethereum,"ETH, BTC",Yes,91,91
324,Maester Protocol,Estonia,0.1,10000000,300000000,0.3,300000000.0,Yes,No,Unavailable,1,Unavailable,Available,0.1,Ethereum,"BTC, ETH, LTC, XRP",Yes,46,43
325,Divider,Netherlands,0.12,5000000,20000000,0.8,48000000.0,Yes,Yes,Unavailable,1,Available,Unavailable,0.08,Ethereum,ETH,No,106,14
326,Block66,Singapore,0.1,3000000,12285000,0.45,135000000.0,No,Yes,Available,4,Available,Unavailable,0.07,Ethereum,"ETH, BTC, BCH",Yes,30,13
327,MARK.SPACE,Singapore,0.1,12827984,256559692,0.4,885000000.0,Not Specified,Not Specified,Unavailable,1,Available,Available,0.1,Ethereum,"ETH, BTC, Fiat",Yes,36,57
328,ECONEUARK,Russia,21.2745483,26162638,1308131928,0.64,5500000.0,No,No,Unavailable,1,Unavailable,Unavailable,10.613557425,Ethereum,ETH,Yes,90,30
329,Scruge,Russia,0.012,120000,240000,0.08,20000000.0,No,Yes,Unavailable,1,Unavailable,Available,0.006,EOS,EOS,Yes,60,59
330,StopTheFakes,Czech Republic,0.23,675000,8500000,0.7,20271000.0,Yes,Yes,Unavailable,2,Available,Unavailable,0.4373249816666671,Ethereum,"ETH, BTC",Yes,31,19
331,TTC PROTOCOL,British Virgin Islands,0.175,20831010,17359175,0.25,250000000.0,No,Yes,Unavailable,2,Available,Unavailable,0.1399661988,Ethereum,ETH,Yes,30,3
332,VTUUR,Estonia,0.25,468430,46843005,0.5,500000000.0,No,Yes,Unavailable,1,Available,Available,0.25,Ethereum,"ETH, BTC, Fiat",Yes,181,31
333,YOUnited,Singapore,0.01,2400000,9700000,0.7,1470000000.0,Yes,Yes,Unavailable,6,Unavailable,Available,0.01,Graphene,"BTC, ETH, LTC",Yes,153,139
334,Celsius,USA,0.2,15000000,50000000,0.5,325000000.0,Yes,Yes,Unavailable,4,Unavailable,Unavailable,0.2,Ethereum,"ETH, BTC, USD",Yes,7,142
335,Filotech,Singapore,0.05,10000000,200000000,0.55,550000000.0,Yes,No,Unavailable,1,Unavailable,Unavailable,0.05,Ethereum,"BTC, BCH, ETH, LTC",Yes,60,30
336,Swapy Network,Cayman Islands,0.65,5000000,30000000,0.5,50000000.0,Yes,Yes,Unavailable,3,Available,Available,0.575,Ethereum,ETH,Yes,30,31
337,The Government Network,Belize,0.64,3000000,45000000,0.7,87500000.0,No,Yes,Unavailable,2,Unavailable,Unavailable,0.44799999999999995,Ethereum,"ETH, BTC",Yes,29,30
338,Zenome,Russia,0.6667,350000,1150000,0.45,6000000.0,No,Yes,Unavailable,1,Unavailable,Unavailable,0.3,Ethereum,"ETH, BTC",Yes,31,7
339,iCumulate,Gibraltar,0.01,2500000,23500000,0.5,2350000000.0,No,Yes,Unavailable,2,Available,Available,0.01,Ethereum,ETH,Yes,21,7
340,Dysnomia,Taiwan,0.043,142203,474011,0.8,44000000.0,No,No,Unavailable,1,Unavailable,Unavailable,0.0332105000833333,Ethereum,ETH,Yes,30,30
341,Giftz.io,USA,10.0,50000000,12000000,0.5,60000000.0,No,No,Unavailable,1,Available,Unavailable,0.4,Ethereum,"ETH, BTC",Yes,91,19
