"name","country","ico_start","ico_end","price_usd","soft_cap_usd","hard_cap_usd","distributed_in_ico","token_for_sale","whitelist","kyc","bonus","restricted_areas","bounty","mvp","pre_ico_start","pre_ico_end","pre_ico_price_usd","platform","accepting","link_provided"
"Iconic Ecosystem","Brazil","2018-05-01","2018-05-31","0.018","106864","8144794","0.85","4.25E8","Yes","Yes","Unavailable","None","Unavailable","Unavailable","2018-02-08","2018-02-20","0.0269814255031343","Ethereum","ETH","Yes"
"Kryptobits","Spain","2018-05-17","2018-08-24","0.1181698","4617340","115433500","0.78","1.12476E9","Yes","Yes","Available","None","Unavailable","Unavailable","2018-05-17","2018-06-05","0.0585028","Ethereum","ETH, BTC, LTC, BCH, XRP, Fiat","Yes"
"Matchroom","Hong Kong","2018-03-15","2018-05-15","0.0143836239058824","1500000","10000000","0.5","5.0E8","No","No","Available","USA, Singapore","Available","Unavailable","2018-02-28","2018-03-15","0.011064326081448","Ethereum","ETH","Yes"
"Solve.Care","Estonia","2018-03-31","2018-05-01","0.1","3000000","20000000","0.35","3.5E8","No","Yes","Unavailable","None","Unavailable","Unavailable","2017-09-25","2017-11-30","0.085","Ethereum","BTC, ETH","Yes"
"Superbloom","Cayman Islands","2018-03-08","2018-03-15","0.1","5000000","29000000","0.55","2.9E8","Yes","Yes","Available","USA","Available","Available","2018-02-08","2018-03-08","0.1","Ethereum","ETH","Yes"
"R-Bit","Norway","2018-04-30","2018-06-29","0.7","1000000","15000000","0.75","1.5E8","No","Yes","Unavailable","None","Unavailable","Unavailable","2018-03-24","2018-04-29","0.05","Ethereum","ETH","Yes"
"Miner Edge","Anguilla","2018-09-07","2019-03-30","0.8","1000000","32000000","0.7","4.2E7","No","Yes","Unavailable","Canada, USA","Available","Unavailable","2018-08-01","2018-08-30","0.6","Ethereum","ETH, BTC","Yes"
"Rateonium","Macedonia","2018-08-25","2018-09-25","0.0376","6992160","18405550","0.83","6.65414296E8","Yes","Yes","Unavailable","China, South Korea, North Korea, USA, Iran, Sangapore","Unavailable","Unavailable","2018-08-09","2018-08-25","0.033268509183","Ethereum","ETH","Yes"
"Yumerium","British Virgin Islands","2018-09-26","2018-10-10","0.072","3000000","20000000","0.39","3.1690685E8","Yes","Yes","Unavailable","USA, China","Available","Available","2018-05-24","2018-07-11","0.07","Ethereum","ETH, BTC","Yes"
"AMICORUM.LIVE","Estonia","2018-08-01","2018-09-30","0.5","3000000","20000000","0.8","4.0E7","Yes","No","Available","USA, Canada, China, Malaysia, North Korea","Available","Unavailable","2018-04-01","2018-07-31","0.5","Ethereum","ETH, BTC, LTC, BCH","Yes"
"Flas Exchange","UK","2020-01-10","2020-02-09","0.03","500000","2500000","0.6","3.0E8","Yes","No","Unavailable","Albania, Bosnia & Herzegovina, Belarus, Democratic Republic of Congo,China,Cuba, Cote d'Ivoire, Iraq, Iran, North Korea, Liberia, Macedonia, Myanmar, Serbia, Sudan, Syria, United States of America and its territories (American Samoa, Guam, the Northern Mariana Islands, Puerto Rico, and the U.S. Virgin Islands), Zimbabwe.","Available","Available","2019-11-08","2020-01-08","0.025","Ethereum","ETH","Yes"
"SRT","Estonia","2018-09-25","2019-09-25","1.0","500000","5000000","0.62","6.2E7","Yes","No","Unavailable","USA, China","Unavailable","Available","2018-07-15","2018-07-23","0.5","Ethereum","ETH, BTC, LTC, BCH, DASH","Yes"
"Usechain","Singapore","2018-08-08","2018-08-13","0.0052","5729899","17189699","0.45","9.0E9","Yes","Yes","Unavailable","China, USA","Available","Available","2018-07-25","2018-08-07","0.00472493011","Ethereum","ETH, BTC","Yes"
"eByte","Germany","2018-09-01","2018-09-30","6.1181","465696","6985440","0.266","1250000.0","No","No","Unavailable","USA, China","Available","Unavailable","2018-06-01","2018-08-12","1160.08606","Ethereum","ETH","Yes"
"Brain Space","Russia","2019-01-14","2019-02-10","0.08","14526000","72630000","0.53","1.431E9","No","Yes","Unavailable","USA, North Korea","Available","Available","2018-11-19","2018-12-16","0.03","Ethereum","ETH, BTC","Yes"
"Cryptoprofile","Singapore","2019-02-01","2019-02-28","0.1","1162556","30463808","0.78","5.91474747E8","Yes","Yes","Unavailable","USA, North Korea, Iran, Afghanistan, Syria, Iraq","Available","Unavailable","2019-01-01","2019-01-31","0.05","Ethereum","ETH","Yes"
"Ekspa","Russia","2018-08-01","2018-08-31","0.4","400000","9700000","0.49","2.45E7","No","No","Unavailable","None","Unavailable","Unavailable","2018-07-18","2018-07-30","0.2","Ethereum","ETH","Yes"
"Mix Rent","Ireland","2019-01-18","2019-01-25","0.006","1000000","17000000","0.52","5.2E7","No","Yes","Unavailable","USA","Unavailable","Available","2018-12-18","2018-12-28","0.20171455781","Ethereum","BTC, ETH, XMR, XRP","Yes"
"SGAT","France","2018-11-08","2018-12-30","1.1434","1714657","7430182","0.65","7800000.0","No","Yes","Unavailable","USA, South Korea","Available","Available","2018-06-01","2018-10-31","1.134636","CryptoNight","BTC, ETH, EUR","Yes"
"BigBang","Estonia","2019-04-01","2019-05-31","0.0319","1000000","25000000","0.2","1.0E8","No","Yes","Unavailable","USA, China","Unavailable","Unavailable","2019-01-01","2019-03-31","0.07102625275","Ethereum","ETH, BTC","Yes"
"FRESCO","Switzerland","2018-03-21","2018-04-15","0.102","7975530","42536162","0.6","5.0E8","Yes","Yes","Unavailable","USA, China, New Zealand, Singapore","Unavailable","Unavailable","2018-03-15","2018-03-20","0.0940467716923077","Ethereum","ETH","Yes"
"GPM Carbon","Czech Republic","2019-07-16","2020-04-30","0.3","3000000","27000000","0.8","1.44E8","No","No","Unavailable","Residents of the following countries and jurisdictions are Nonet allowed to participate in the Carbon Token Generation Event: U.S. Persons and Green Card holders, citizens and residents of Afghanistan, Belarus, Bosnia & Herzegovina, Burundi, Canada, Central African Republic, Crimea Region of Ukraine, Cuba, Democratic Republic of the Congo, Guinea, Guinea-Bissau, Iran, Iraq, LebaNonen, Liberia, Libya, Malaysia, Mali, Myanmar (Burma), North Korea, People Republic of China (except for Hong Kong, Taiwan and Macau), Singapore, Somalia, South Sudan, Sudan, Syria, Tunisia, Yemen, Zimbabwe.","Available","Available","2019-12-01","2020-03-31","0.15","BITCOIN","ETH, BTC","Yes"
"Signals","Czech Republic","2018-03-12","2018-04-30","0.3627","2000000","18500000","0.5","7.5E7","No","Yes","Unavailable","USA, China","Available","Unavailable","2017-11-22","2017-12-31","0.253874","Ethereum","ETH","Yes"
"Swachhcoin","India","2018-08-15","2018-11-10","0.072","5000000","15000000","0.69","2.14099889E8","No","Yes","Unavailable","None","Available","Unavailable","2018-06-01","2018-06-29","0.0473","Ethereum","BTC, ETH, XPR, LTC","Yes"
"3DChain","USA","2019-01-01","2019-05-30","0.0479","29069","7675768","0.6","6.0E7","Yes","No","Unavailable","None","Available","Available","2018-09-01","2018-12-30","0.046619817","Ethereum","ETH","Yes"
"Cryptopus","Panama","2018-02-26","2018-06-01","0.3","0","20301506","0.35","3.5E7","Yes","Yes","Unavailable","None","Unavailable","Unavailable","2017-12-03","2018-02-01","29348.738811","Ethereum","BTC, ETH","Yes"
"Game Protocol","Malta","2018-11-01","2018-11-30","0.132581329333333","3000000","30000000","0.58","8.7E7","Yes","Yes","Available","USA, China","Unavailable","Available","2018-10-01","2018-11-01","0.110484441111111","Ethereum","ETH, BTC","Yes"
"PlayTrip","Switzerland","2018-10-30","2018-11-15","0.0599","3393549","11311830","0.5","7.5E8","Yes","Yes","Unavailable","None","Unavailable","Available","2018-10-08","2018-10-14","0.0296537872727273","Ethereum",,"Yes"
"SmartCity","Croatia","2018-02-01","2018-03-31","0.0555","396457","4559255","0.9","8.0E7","Not Specified","Not Specified","Unavailable","None","Unavailable","Unavailable","2018-01-15","2018-01-31","0.224681746782609","Ethereum","ETH","Yes"
"V-ID","Netherlands","2018-10-15","2018-12-20","0.4","1000000","8000000","0.5","5.0E7","Yes","Yes","Unavailable","USA, Canada, China, North Korea, Venezuela, Cayman, Somalia","Available","Available","2018-09-15","2018-10-14","0.08","Ethereum","ETH, BTC, EUR","Yes"
"Bronix","Australia","2018-07-26","2018-11-02","0.35","5000000","30000000","0.8","1.75E8","Yes","Yes","Unavailable","None","Unavailable","Unavailable","2018-06-22","2018-07-22","0.35","Ethereum","BTC, ETH, XRP","No"
"Lamoneda","Netherlands","2018-07-13","2018-08-30","0.0195","2000000","10000000","0.72","3.625E8","No","Yes","Unavailable","None","Unavailable","Unavailable","2018-06-15","2018-07-06","0.0245501999","Ethereum","ETH, BTC, LTC, Fiat","Yes"
"Rise Housing","Bahamas","2018-06-01","2018-07-01","0.01","9078359","18156719","0.3","1.0E8","No","Yes","Unavailable","USA, China, Singapore, Bahamas","Available","Unavailable","2018-04-10","2018-05-25","0.008333333333","Ethereum","ETH","Yes"
"Memority","Estonia","2018-05-31","2018-11-30","0.1","5000000","85500000","0.57","8.55E8","No","Yes","Unavailable","USA, China, Japan, South Korea, Cuba, Iran, North Korea, Syria, Crimea.","Available","Available","2018-05-16","2018-05-31","0.1","Ethereum","ETH, BTC, LTC, BCH, Fiat","Yes"
"Tripago","UK","2018-05-18","2018-07-15","0.036","2249250","11246250","0.4","4.0E8","No","No","Unavailable","None","Available","Unavailable","2018-04-02","2018-04-20","0.02415156175","Ethereum","ETH, BTC, LTC, BCH","Yes"
"Datarius","Costa Rica","2018-03-05","2018-04-05","1.0","1000000","51000000","0.73","2.0E8","No","Yes","Unavailable","None","Available","Unavailable","2017-12-12","2017-12-31","1.0","Ethereum","ETH, BTC, BCC, LTC, Fiat","Yes"
"OPP Open WiFi","UK","2018-08-14","2019-01-15","0.4","4000000","40000000","0.0355","1.42E8","Yes","Yes","Unavailable","None","Available","Available","2018-07-14","2018-08-14","0.24","Ethereum","BTC, ETH, Fiat","Yes"
"CAXI","UK","2019-03-15","2019-04-15","1.1308","33915180","113050600","0.7","7.0E9","Yes","Yes","Unavailable","Syria, Afaghanistan, Pakistan, Ethyopia, Somalia, North Korea","Unavailable","Unavailable","2019-01-07","2019-03-15","0.6846264","Ethereum","ETH, BTC, BCH, LTC, ZCH, XMR, DASH","Yes"
"Moneda","Austria","2018-05-15","2018-07-15","0.0864","10000000","250000000","0.675","2.5E8","No","No","Unavailable","None","Available","Unavailable","2018-03-31","2018-04-30","0.0587343705185185","Ethereum","ETH","Yes"
"Spacoin","Cambodia","2017-12-12","2017-12-25","0.087","4595003","18380015","0.53","8.0E7","Not Specified","Not Specified","Unavailable","None","Unavailable","Unavailable","2017-11-06","2017-11-12","0.07022759766","Ethereum","ETH, BTC","Yes"
"AQUA","USA","2018-11-25","2018-11-30","0.18","5000000","30000000","0.45","2.25E8","No","Yes","Unavailable","None","Available","Available","2018-08-27","2018-11-25","0.09","Ethereum","ETH","Yes"
"Dentix","USA","2018-04-02","2018-05-02","0.6802","1200000","28000000","0.7","3.0E8","Yes","Yes","Unavailable","No","Unavailable","Unavailable","2018-02-02","2018-03-31","0.915784973","Ethereum",,"Yes"
"Incodium","Singapore","2018-07-17","2018-08-27","0.0093","100000000","1500000000","0.3","3.0E9","No","No","Unavailable","None","Unavailable","Unavailable","2018-06-01","2018-06-30","0.01450107575","Ethereum","ETH","Yes"
"Current X Change","USA","2018-12-21","2019-06-21","1.0","1500000","15000000","0.5","1.7915904E7","No","Yes","Unavailable","China, Bangladesh, Nepal, Macedonia, Bolivia, Ecuador, Pakistan, Algeria, Morocco","Available","Available","2018-11-11","2018-12-20","0.6","Steem",,"Yes"
"eCoinomic","Estonia","2018-05-01","2018-08-24","0.05","6000000","106000000","0.74","1.55E9","Yes","Yes","Unavailable","USA, China, Singapore","Available","Unavailable","2018-04-03","2018-04-21","0.05","Ethereum","ETH, BTC, XRP, BCH, LTC, NEO, XMR, ZEC","Yes"
"Airbloc","Singapore","2018-06-19","2018-06-29","0.041","3052063","8720180","0.55","2.2145E8","Yes","Yes","Unavailable","USA, North Korea, China","Unavailable","Available","2018-05-21","2018-05-29","0.0608019117391304","Ethereum","ETH","Yes"
"Edgecoin","Germany","2018-01-06","2018-04-06","0.077","370285","2962280","0.4","4.0E7","No","Yes","Unavailable","US, China","Unavailable","Unavailable","2017-11-06","2017-12-06","0.0298891998","Ethereum","ETH","Yes"
"Let Bet","Belize","2018-02-25","2018-04-05","1.5","3000000","84000000","0.5","9.9E7","Not Specified","Not Specified","Unavailable","None","Unavailable","Unavailable","2018-01-20","2018-02-14","1.15","Ethereum","ETH, BTC","Yes"
"ReporterCommunity","Hungary","2018-01-31","2018-05-31","0.114","2599402","5198805","0.6","3.6E7","Yes","No","Unavailable","None","Unavailable","Unavailable","2017-10-22","2018-01-31","0.0651838971869829","Ethereum","ETH, XEM, XRP","No"
"Canyudo","UK","2019-05-01","2019-07-31","0.1","250000","200000000","0.5","5.0E9","No","Yes","Unavailable","None","Unavailable","Available","2019-02-01","2019-02-28","0.1","Ethereum","ETH","Yes"
"Guarium","UK","2018-07-16","2019-04-30","0.94","324332","12162452","0.4","1.4E10","Yes","No","Unavailable","None","Unavailable","Unavailable","2018-04-20","2018-07-15","0.01","Ethereum","BTC, ETH, Fiat","Yes"
"MedK - Medical Cannabis","UK","2019-06-10","2019-11-01","0.05","147000","35000000","0.6","5.5E8","Yes","Yes","Unavailable","None","Unavailable","Unavailable","2019-06-10","2019-08-01","0.05","Ethereum","BTC, ETH, XRP, BCH, Fiat","Yes"
"Developeo","UK","2019-03-19","2019-04-29","0.4","50000000","480000000","0.8","4.8E8","No","Yes","Unavailable","USA","Available","Unavailable","2018-04-11","2018-05-26","0.2","Ethereum","ETH, BTC, LTC, XRP, BCH, BCN, DASH, DGB, DOGE, ETC, KMD, MAID, NEO, NXS, OMNI, POT, QTUM, SBD, STEEM, STRAT, SYS, USDT, VTC, WAVES, XCP, XEM, XMR, XVG, XZC, ZEC","Yes"
"Gyptex","Hong Kong","2019-10-15","2019-11-30","0.0096","1144047","3813492","0.6","4.4508498E8","Yes","Yes","Unavailable","None","Unavailable","Unavailable","2019-04-20","2019-05-25","0.01303134495","Ethereum","ETH","Yes"
"JOYS","Russia","2018-06-21","2018-04-10","0.05","5000000","50000000","0.35","3.5E9","No","Yes","Unavailable","None","Available","Available","2018-05-16","2018-05-31","0.025","Ethereum","ETH, BTC, BTH, LTC","Yes"
"Local Token Exchange","Spain","2018-08-31","2018-12-30","0.2916","1143105","22280145","0.58","4.466E7","Yes","Yes","Unavailable","USA","Unavailable","Unavailable","2018-07-30","2018-08-30","0.14637175","Ethereum","ETH","Yes"
"MUST Protocol","Estonia","2018-11-01","2019-12-31","0.04","6700000","14000000","0.7","3.5E8","Yes","Yes","Unavailable","None","Unavailable","Unavailable","2018-08-01","2018-09-30","0.04","Ethereum","BTC, ETH, Fiat","Yes"
"NWPSolution","Estonia","2018-08-01","2018-12-01","0.05","300000","700000","0.5","5.0E8","Yes","Yes","Available","USA","Available","Available","2018-04-30","2018-06-15","0.01","Ethereum","BTC, ETH, LTC, Dash","Yes"
"WhatsOnPic","Australia","2019-02-22","2019-05-19","2.3926","1821250","21987500","0.7","5050000.0","No","Yes","Unavailable","China, USA","Available","Available","2018-11-26","2019-02-15","22.893822749999998","Ethereum","ETH, BTC","Yes"
"Auctus","British Virgin Islands","2018-04-10","2018-04-20","0.283","1634000","2850000","0.51","5.406E7","Yes","Yes","Unavailable","USA, China and Singapore","Unavailable","Unavailable","2017-10-03","2017-10-06","0.1169852052","Ethereum","ETH","Yes"
"EZPOS","Singapore","2018-01-01","2018-01-13","1.2","2000000","10000000","0.2","1.0E7","Yes","Yes","Unavailable","USA, China","Unavailable","Unavailable","2017-12-07","2017-12-31","0.6","Ethereum","BTC, ETH","Yes"
"0xcert","Slovenia","2018-07-04","2018-07-18","0.0497","2402565","9610260","0.5","2.5E8","Yes","Yes","Unavailable","USA, China, New Zealand","Available","Available","2018-07-02","2018-07-04","0.04205861937","Ethereum","ETH","Yes"
"BuzzShow","Netherlands","2018-05-04","2019-07-04","0.5","250000","20000000","0.62","9.3E7","No","Yes","Unavailable","None","Available","Unavailable","2018-03-05","2018-04-04","0.25","Ethereum","ETH, ETC, BTC, BCH, LTC, DASH, XRP, XMR","Yes"
"Zeon Network","Germany","2020-01-01","2021-01-01","5.0E-4","2000000","15000000","0.6","3.0E10","No","No","Unavailable","None","Available","Available","2018-04-27","2018-05-28","5.0E-4","Custom","USD, USDT, BTC, ETH","Yes"
"B.SURE",,"2018-04-30","2018-05-15","39.5","7400000","32400000","0.58","638000.0","Not Specified","Not Specified","Unavailable","None","Unavailable","Unavailable","2018-04-01","2018-04-29","52.7468484368","Ethereum","ETH","Yes"
"Kryptoin","Cayman Islands","2018-09-01","2019-03-01","35.4408","3896420","15597006","0.6","1078825.0","Yes","Yes","Available","None","Available","Available","2018-05-01","2018-09-01","29.5341003","Ethereum","ETH","Yes"
"RedFund","Mexico","2018-08-12","2018-08-26","0.2749","2751969","55039398","0.75","1.65E8","No","No","Unavailable","None","Unavailable","Unavailable","2018-07-01","2018-08-11","0.378264999166667","Ethereum","ETH","Yes"
"Trimpo","USA","2018-08-15","2018-11-01","0.705910035","994359","5966159","0.6","5.0E8","No","No","Available","None","Unavailable","Available","2018-05-15","2018-07-15","1.124625015","Ethereum","ETH, BTC","Yes"
"WolfpackBOT","Bahamas","2018-11-01","2019-10-15","0.15","300000","56000000","0.8","2.4E8","No","Yes","Unavailable","Iran, North Korea, China","Available","Available","2018-11-01","2019-01-01","0.1","X11","ETH, BTC, LTC, DASH, DOGE","Yes"
"CWEX","Switzerland","2019-01-10","2019-03-21","0.2","1000000","10000000","0.62","5.518E7","Yes","No","Available","USA","Available","Available","2018-12-15","2019-01-09","0.16","EOS","EOS, ETH, BTC, LTC","Yes"
"Digmus","Russia","2017-11-24","2017-12-24","4.427","500000","10000000","0.7","7000000.0","Not Specified","Not Specified","Unavailable","None","Unavailable","Unavailable","2017-10-12","2017-10-19","1.01378662","Ethereum","BTC, ETH","Yes"
"WisePass","Singapore","2018-06-10","2018-08-10","0.0362","334175","5012639","0.25","2.5E8","Yes","Yes","Unavailable","USA, China","Unavailable","Available","2018-05-10","2018-06-10","0.0606064148333333","Ethereum","ETH","Yes"
"Morpheus Network","Seychelles","2018-03-22","2018-04-22","0.5","1800000","18000000","0.52","5.2E7","No","Yes","Unavailable","USA, China, North Korea, Syria, Iran, Sudan, Bangladesh, Bolivia, Kyrgyzstan, Canada","Available","Unavailable","2018-03-02","2018-03-17","0.5","Ethereum","ETH","Yes"
"Sharpay","Belize","2018-03-01","2018-05-31","0.017","3000000","25994025","0.375","1.5E9","Yes","Yes","Unavailable","None","Available","Available","2017-12-11","2018-02-11","0.01545407958","Ethereum","ETH, BTC, LTC, BCH, Dash","Yes"
"FXPay","UK","2018-08-01","2018-10-31","1.6","15000000","17764289","0.4","2.0E8","Yes","Yes","Unavailable","USA","Unavailable","Unavailable","2018-05-01","2018-07-31","1.1499999762","Ethereum","ETH, BTC","Yes"
"Maester Protocol","Estonia","2019-08-15","2019-09-30","0.1","10000000","300000000","0.3","3.0E8","Yes","No","Unavailable","None","Unavailable","Available","2018-11-19","2019-01-01","0.1","Ethereum","BTC, ETH, LTC, XRP","Yes"
"Divider","Netherlands","2019-06-16","2019-09-30","0.12","5000000","20000000","0.8","4.8E7","Yes","Yes","Unavailable","None","Available","Unavailable","2019-06-01","2019-06-15","0.08","Ethereum","ETH","No"
"Block66","Singapore","2018-09-20","2018-10-20","0.1","3000000","12285000","0.45","1.35E8","No","Yes","Available","USA, Iran, North Korea","Available","Unavailable","2018-09-06","2018-09-19","0.07","Ethereum","ETH, BTC, BCH","Yes"
"MARK.SPACE","Singapore","2018-01-23","2018-02-28","0.1","12827984","256559692","0.4","8.85E8","Not Specified","Not Specified","Unavailable","None","Available","Available","2017-11-01","2017-12-28","0.1","Ethereum","ETH, BTC, Fiat","Yes"
"ECONEUARK","Russia","2019-04-01","2019-06-30","21.2745483","26162638","1308131928","0.64","5500000.0","No","No","Unavailable","None","Unavailable","Unavailable","2019-03-01","2019-03-31","10.613557425","Ethereum","ETH","Yes"
"Scruge","Russia","2019-09-01","2019-10-31","0.012","120000","240000","0.08","2.0E7","No","Yes","Unavailable","USA","Unavailable","Available","2019-04-01","2019-05-30","0.006","EOS","EOS","Yes"
"StopTheFakes","Czech Republic","2018-03-21","2018-04-21","0.23","675000","8500000","0.7","2.0271E7","Yes","Yes","Unavailable","USA, Belize","Available","Unavailable","2018-01-21","2018-02-09","0.437324981666667","Ethereum","ETH, BTC","Yes"
"TTC PROTOCOL","British Virgin Islands","2018-04-18","2018-05-18","0.175","20831010","17359175","0.25","2.5E8","No","Yes","Unavailable","USA, China","Available","Unavailable","2018-03-12","2018-03-15","0.1399661988","Ethereum","ETH","Yes"
"VTUUR","Estonia","2019-02-05","2019-08-05","0.25","468430","46843005","0.5","5.0E8","No","Yes","Unavailable","USA","Available","Available","2018-07-05","2018-08-05","0.25","Ethereum","ETH, BTC, Fiat","Yes"
"YOUnited","Singapore","2019-09-24","2020-02-24","0.01","2400000","9700000","0.7","1.47E9","Yes","Yes","Unavailable","North Korea, United States of America","Unavailable","Available","2019-05-07","2019-09-23","0.01","Graphene","BTC, ETH, LTC","Yes"
"Celsius","USA","2018-03-16","2018-03-23","0.2","15000000","50000000","0.5","3.25E8","Yes","Yes","Unavailable","North Korea, Syria, USA","Unavailable","Unavailable","2017-10-25","2018-03-16","0.2","Ethereum","ETH, BTC, USD","Yes"
"Filotech","Singapore","2018-11-01","2018-12-31","0.05","10000000","200000000","0.55","5.5E8","Yes","No","Unavailable","USA","Unavailable","Unavailable","2018-10-01","2018-10-31","0.05","Ethereum","BTC, BCH, ETH, LTC","Yes"
"Swapy Network","Cayman Islands","2018-04-26","2018-05-26","0.65","5000000","30000000","0.5","5.0E7","Yes","Yes","Unavailable","USA, China, Brazil","Available","Available","2018-03-19","2018-04-19","0.575","Ethereum","ETH","Yes"
"The Government Network","Belize","2018-11-01","2018-11-30","0.64","3000000","45000000","0.7","8.75E7","No","Yes","Unavailable","Belize, USA","Unavailable","Unavailable","2018-10-01","2018-10-31","0.448","Ethereum","ETH, BTC","Yes"
"Zenome","Russia","2019-03-01","2019-04-01","0.6667","350000","1150000","0.45","6000000.0","No","Yes","Unavailable","None","Unavailable","Unavailable","2017-10-17","2017-10-24","0.3","Ethereum","ETH, BTC","Yes"
"iCumulate","Gibraltar","2018-12-10","2018-12-31","0.01","2500000","23500000","0.5","2.35E9","No","Yes","Unavailable","China, USA","Available","Available","2018-11-30","2018-12-07","0.01","Ethereum","ETH","Yes"
"Dysnomia","Taiwan","2018-06-06","2018-07-06","0.043","142203","474011","0.8","4.4E7","No","No","Unavailable","None","Unavailable","Unavailable","2018-04-09","2018-05-09","0.0332105000833333","Ethereum","ETH","Yes"
"Giftz.io","USA","2017-11-24","2018-02-23","10.0","50000000","12000000","0.5","6.0E7","No","No","Unavailable","None","Available","Unavailable","2017-11-01","2017-11-20","0.4","Ethereum","ETH, BTC","Yes"
"Bitmart","Cayman Islands","2017-12-27","2018-01-15","0.01","12919200","38757601","0.3","3.0E8","Not Specified","Not Specified","Unavailable","None","Unavailable","Unavailable","2017-12-18","2017-12-23","0.0653988203636364","Ethereum","ETH","Yes"
"Sarf","Belize","2018-09-05","2018-10-07","0.015","2000000","10600000","0.375","7.5E8","No","No","Unavailable","None","Available","Available","2018-08-15","2018-09-05","0.01","Ethereum","ETH, BTC, LTC, Dash, XRP","Yes"
"Fatum","Hong Kong","2019-02-15","2019-03-25","9.5706","1114005","4388508","0.6","4.125E8","Yes","Yes","Unavailable","None","Unavailable","Unavailable","2018-11-20","2018-12-25","0.00973856933923348","Ethereum","ETH","Yes"
"Game Stars","Seychelles","2018-05-10","2018-07-09","0.035","2000000","7500000","0.65","3.25E8","No","No","Unavailable","USA, China","Available","Available","2018-05-03","2018-05-10","0.035","Ethereum","ETH, BTC","Yes"
"Node","Latvia","2018-02-15","2018-04-15","1.0","1000000","10000000","0.55","9250000.0","Not Specified","Not Specified","Unavailable","None","Available","Unavailable","2018-01-15","2018-02-15","1.0","Ethereum","ETH, BTC","Yes"
"DeFund Project","Italy","2018-08-07","2018-09-06","0.006","510847","2554695","0.9","4.5E8","No","No","Unavailable","None","Unavailable","Unavailable","2018-07-16","2018-07-31","0.00906901867924528","Ethereum","ETH","Yes"
"EBCoin","Singapore","2018-01-16","2018-02-13","0.043","150000000","600000000","0.5","7.5E8","Not Specified","Not Specified","Unavailable","None","Unavailable","Unavailable","2017-12-07","2018-01-07","0.012591535942029","Ethereum","ETH","Yes"
"Filmgrid","Mexico","2019-08-01","2020-08-31","0.072530210853","13000000","21000000","0.8","8.0E8","Yes","No","Unavailable","USA","Unavailable","Unavailable","2019-07-01","2019-07-31","0.041697038046","Ethereum","ETH","Yes"
"Inmediate","Singapore","2018-07-18","2018-08-06","0.04","4000000","16000000","0.4","4.0E8","Yes","Yes","Unavailable","USA, China","Unavailable","Unavailable","2018-07-06","2018-07-13","0.04","Zilliqa","BTC, ETH","Yes"
"Seal","Netherlands","2018-05-13","2018-05-27","0.7","3000000","33000000","0.41","4.92E8","No","Yes","Unavailable","USA, China","Unavailable","Unavailable","2018-04-15","2018-05-12","0.08","Ethereum","ETH","Yes"
"Zodiaq","Russia","2018-07-08","2018-08-07","0.2","1500000","24535000","0.8","2.4E8","Yes","Yes","Unavailable","USA, Switzerland, Singapore and Canada","Available","Available","2018-05-21","2018-06-23","0.1","Ethereum","BTC , ETH","Yes"
"Blupass ICO","USA","2018-05-15","2018-09-30","0.0118","500000","25000000","0.6","4.0E9","Yes","Yes","Unavailable","None","Available","Unavailable","2018-05-15","2018-06-14","0.0354435486","Ethereum","ETH","Yes"
"CGCX","Singapore","2018-06-01","2018-07-30","0.051","5000000","1000000000","0.5","1.0E9","Yes","Yes","Unavailable","USA, UK, China, Canada (and other countries against whom official sanctions are imposed)","Available","Unavailable","2018-05-01","2018-05-25","0.0792485854117647","Ethereum","ETH, BTC","Yes"
"Carnomaly","USA","2020-04-02","2020-05-02","0.25","7500000","35000000","0.55","5.3E8","No","Yes","Unavailable","None","Available","Unavailable","2020-03-01","2020-03-31","0.15","Ethereum","BTC, ETH, LTC, XRP, USTD, BCH","Yes"
"Decibels","USA","2018-03-08","2018-07-01","0.15","2269589","10235850","0.6","3.0E7","No","Yes","Unavailable","None","Available","Unavailable","2018-03-01","2018-03-08","0.05","Ethereum","ETH, Various","Yes"
"Digitize","Australia","2018-05-04","2018-05-11","0.1435","407751","13591719","0.6","2.0E8","Yes","Yes","Unavailable","None","Available","Unavailable","2018-04-06","2018-04-13","0.0740570008","Ethereum","ETH","Yes"
"Flexion","Singapore","2018-11-01","2018-12-31","0.05","900000","5400000","0.53","1.7E8","No","No","Unavailable","USA","Unavailable","Unavailable","2018-09-25","2018-10-31","0.025","Ethereum","ETH, BTC","Yes"
"LUNOX TOKEN","Indonesia","2019-07-08","2019-08-31","1.0E-4","43117","431174","0.625","2.5E9","No","No","Unavailable","None","Available","Unavailable","2019-07-01","2019-07-07","2.93641113E-4","Ethereum","ETH","Yes"
"Ubcoin Market","United Arab Emirates","2018-04-02","2018-08-27","0.0343","571205","8282486","0.5","3.25E8","No","No","Unavailable","None","Available","Unavailable","2018-03-10","2018-05-31","0.028882251","Ethereum","ETH","Yes"
"Baanx.com","UK","2018-09-01","2018-10-31","0.125","1000000","36850000","0.56","7.0E8","Yes","Yes","Unavailable","USA, China","Unavailable","Unavailable","2018-06-13","2018-07-31","0.0799999982","Ethereum","ETH, BTC, BCH, Fiat","Yes"
"CDRX","Singapore","2018-11-19","2018-12-23","0.5","5000000","100000000","0.5","2.0E8","Yes","Yes","Unavailable","USA, China","Available","Available","2018-11-05","2018-11-19","0.5","Ethereum","BTC, ETH, Fiat","Yes"
