"name","country","ico_start","ico_end","price_usd","soft_cap_usd","hard_cap_usd","distributed_in_ico","token_for_sale","whitelist","kyc","bonus","restricted_areas","bounty","mvp","pre_ico_start","pre_ico_end","pre_ico_price_usd","platform","accepting","link_provided"
"Sapien Wallet","Ukraine","2020-04-27","2020-07-26","0.07035392","579804","1739412","1.0","1000000.0","Yes","No","Unavailable","None","Available","Unavailable","2020-03-01","2020-04-26","0.07005063","Ethereum","ETH, nEUR","Yes"
"VENOTY","Romania","2019-04-05","2019-05-19","0.5051","1117356","3352068","0.085","4000000.0","No","No","Unavailable","No","Available","Unavailable","2019-03-05","2019-04-05","0.3401205","Scrypt","BTC, BCH, LTC, Dash, ETH","Yes"
"xDAC","USA","2018-09-05","2018-11-05","0.2323","313636","4181820","0.2","2.0E7","No","No","Unavailable","None","Available","Unavailable","2018-05-15","2018-06-30","0.21","xDAC","ETH","Yes"
"World Trip Singapore","Singapore","2019-03-01","2019-04-30","1.0","3000000","15000000","0.33","3.5E7","No","Yes","Unavailable","USA, China, Japan, Korea","Unavailable","Available","2018-10-01","2019-03-01","0.5","Ethereum","ETH, BTC","Yes"
"Impresso","Switzerland","2019-01-18","2019-01-31","0.77","3000000","54000000","0.7672","7.672E7","Yes","Yes","Unavailable","USA, North Korea, Iran","Unavailable","Unavailable","2019-01-04","2019-01-17","0.64","Ethereum","BTC, ETH, LTC, BCH, Fiat","Yes"
"Modex","Gibraltar","2018-09-15","2018-09-25","0.8","10577066","10577066","1.0","1.3221333E7","No","Yes","Unavailable","USA, China, Vietnam","Available","Available","2018-01-19","2018-04-19","0.4","Ethereum","BTC, ETH, Various","Yes"
"aassio","Hong Kong","2019-03-01","2019-04-30","0.1","6000000","10000000","0.5","5.0E8","Yes","Yes","Unavailable","USA, Afghanistan, Bosnia & Herzegovina, Burundi, Central African Republic, China, Democratic Republic of the Congo, Egypt, Eritrea, Ethiopia, Guinea, Guinea-Bissau, Haiti, Iran, Iraq, LebaNonen, Libya, Maldives, Mali, Moldova, Montenegro, Myanmar, North Korea, Pakistan, Serbia, Somalia, Sri Lanka, Sudan, Syria, Trinidad and Tobago, Tunisia, Venezuela, Yemen and Zimbabwe.","Available","Available","2018-11-01","2019-02-14","0.1","Ethereum","ETH","Yes"
"youengine","Seychelles","2020-04-30","2020-09-14","0.1","150000000","400000000","0.6","1.1E10","Yes","Yes","Unavailable","USA, Canada, Cuba, Democratic People’s Republic of Korea (North Korea), Iran, Pakistan, Syria, Libya, Sudan, Somalia, Yemen, the Government of Venezuela orCrimea","Unavailable","Unavailable","2019-11-15","2020-04-29","0.085","Etherum","ETH","No"
"BRIDGE","Romania","2020-02-01","2020-05-01","1.3","15000000","45000000","0.1","3.0E7","No","No","Unavailable","Balkans, Belarus, Burma, Ivory Coast, Cuba, Democratic Republic of Congo, Iran, Iraq, Liberia, North Korea, Sudan, Syria, Zimbabwe, and Somalia","Unavailable","Unavailable","2020-01-15","2020-01-31","0.9","Stellar Protocol","BTC, Fiat via Credit Card","Yes"
"Cryptyk","USA","2018-11-28","2019-02-08","0.125","3000000","25000000","0.33","2.5E8","No","Yes","Unavailable","USA, Brazil, China, Canada","Available","Unavailable","2018-02-08","2018-11-23","0.1","Ethereum","ETH, BTC, USD","Yes"
